,Unnamed: 0,description,username,public_metrics,id,name,created_at,followers_count_caller,following_count_caller,tweet_count_caller,listed_count_caller,followers_count_other,following_count_other,tweet_count_other,listed_count_other
0,0,"Mars & Cars, Chips & Dips",elonmusk,"{'followers_count': 102081612, 'following_count': 119, 'tweet_count': 18791, 'listed_count': 97251}",44196397,Elon Musk,2009-06-02T20:12:29.000Z, 102081612, 119, 18791, 97251}, 102081612, 119, 18791, 97251}
1,1,follow me for tweets on NFTs and web 3 | discord https://t.co/WK3S6hD21i,GiancarloChaux,"{'followers_count': 84338, 'following_count': 999, 'tweet_count': 2459, 'listed_count': 784}",3432951370,Giancarlo,2015-08-20T15:11:26.000Z, 84338, 999, 2459, 784}, 84338, 999, 2459, 784}
2,2,"Stocks, Futures and Options Professional Trader / ""The 80,000% yearly gain trader"" 2016. @TCinvestimentos",cafecomferri,"{'followers_count': 156848, 'following_count': 665, 'tweet_count': 98969, 'listed_count': 1572}",437824506,cafecomferri,2011-12-15T21:46:17.000Z, 156848, 665, 98969, 1572}, 156848, 665, 98969, 1572}
3,3,"Com o TC, você acessa ideias e racionais de investimentos, especialistas do mercado, notícias, furos e muito mais. Não invista sozinho, baixe o app!",tcinvestimentos,"{'followers_count': 94532, 'following_count': 15, 'tweet_count': 20275, 'listed_count': 1044}",767763810409181188,TC,2016-08-22T16:42:11.000Z, 94532, 15, 20275, 1044}, 94532, 15, 20275, 1044}
4,4,"𝙮𝙤𝙪 𝙘𝙖𝙣'𝙩 𝙨𝙩𝙤𝙥 𝙪𝙨 𝙢𝙚𝙤𝙬, 𝙩𝙝𝙚 𝙘𝙖𝙩𝙯 𝙩𝙖𝙠𝙚𝙤𝙫𝙚𝙧 𝙞𝙨 𝙘𝙤𝙢𝙞𝙣𝙜... 𝙅𝙪𝙡𝙮 𝟮𝟱𝙩𝙝  #theTakeover",MooncatzNFT,"{'followers_count': 124389, 'following_count': 41, 'tweet_count': 589, 'listed_count': 49}",1547466953190768641,Mooncatz,2022-07-14T06:24:25.000Z, 124389, 41, 589, 49}, 124389, 41, 589, 49}
5,5,This Privacy Policy addresses the collection and use of personal information - https://t.co/N9W2J34YdA,Cristiano,"{'followers_count': 102242794, 'following_count': 62, 'tweet_count': 3805, 'listed_count': 84992}",155659213,Cristiano Ronaldo,2010-06-14T19:09:20.000Z, 102242794, 62, 3805, 84992}, 102242794, 62, 3805, 84992}
6,6,"CEO @binance, holder of #bnb #btc",cz_binance,"{'followers_count': 6695314, 'following_count': 1814, 'tweet_count': 3989, 'listed_count': 22852}",902926941413453824,CZ 🔶 Binance,2017-08-30T16:12:13.000Z, 6695314, 1814, 3989, 22852}, 6695314, 1814, 3989, 22852}
7,7,"Ethereum

Fable of the Dragon Tyrant (not mine but it's important): https://t.co/t3jaMRRrPs

Abolish daylight savings time and leap seconds",VitalikButerin,"{'followers_count': 4120385, 'following_count': 327, 'tweet_count': 17969, 'listed_count': 28827}",295218901,vitalik.eth,2011-05-08T16:03:03.000Z, 4120385, 327, 17969, 28827}, 4120385, 327, 17969, 28827}
8,8,"Brb, taking quizzes 📈 some links may be affiliate 👍",BuzzFeed,"{'followers_count': 6312863, 'following_count': 2932, 'tweet_count': 314673, 'listed_count': 21079}",5695632,BuzzFeed,2007-05-01T21:40:03.000Z, 6312863, 2932, 314673, 21079}, 6312863, 2932, 314673, 21079}
9,9,News and analysis with a global perspective. Subscribe here: https://t.co/82ZTH0R7xt,TheEconomist,"{'followers_count': 26803206, 'following_count': 146, 'tweet_count': 312974, 'listed_count': 121548}",5988062,The Economist,2007-05-12T13:04:50.000Z, 26803206, 146, 312974, 121548}, 26803206, 146, 312974, 121548}
